model	cancer	HALLMARK_ADIPOGENESIS	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_APOPTOSIS	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_COAGULATION	HALLMARK_COMPLEMENT	HALLMARK_DNA_REPAIR	HALLMARK_E2F_TARGETS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_G2M_CHECKPOINT	HALLMARK_GLYCOLYSIS	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEME_METABOLISM	HALLMARK_HYPOXIA	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYOGENESIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_P53_PATHWAY	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PEROXISOME	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PROTEIN_SECRETION	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_SPERMATOGENESIS	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_UP	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_XENOBIOTIC_METABOLISM
CID3586	Punctuated	Breast cancer	-1.32493406367448	1.0514996364119	0.304486841468524	-0.735354817851125	-0.663358163678441	0.618873498312036	1.71863731368441	-1.73889881758067	-0.82038137657156	-0.340572615601465	0.280327602122427	-0.513932267435211	-0.745285071522046	0.0554070966724643	0.0926583289137434	-0.44818576063622	-1.97713849892008	-0.692548583335367	-1.83870589391862	-0.890806160882402	-0.457616731971283	-0.20063357915223	1.24596659379094	0.681994113378969	0.723615397727561	0.365789387801607	0.81996189254625	1.33446960171902	0.465168699800609	-0.612812608924939	-0.605183104692624	-0.934619057921778	-0.426483918013816	0.0961736861186894	-1.42675188852737	-1.20241274127949	0.989576677075792	-0.730704751136628	-2.14059139596088	1.47425782771532	-0.099435756302815	-0.497416514495985	0.496940971579998	0.669916683442763	1.54355806538064	0.0976700007092998	0.100352881313482	0.546568223354861	0.444868942306498	-1.63930567776609
CID3921	Punctuated	Breast cancer	0.55510935017551	1.23265759526885	1.08462995745193	0.817716459827953	-0.00661663706578663	1.38698050936321	2.13911850237009	-0.169712454830603	0.663696239915613	0.859851953876668	1.04412911905935	-1.25985129020792	-0.767951384376065	0.947647700387639	0.671568181703912	0.0564874644656399	-0.616697868349941	-0.792298427727673	-0.000790493789887985	0.00938819239470831	-0.0458933460904207	1.00714734879087	1.34421359798078	1.31036613635023	1.45153288904149	0.0803190408492193	0.841489376332014	1.21920217865517	1.03306920639546	-0.347898748097033	0.438210482058174	-0.934805849106974	-0.840248524313799	1.05935325497141	-0.456872658118718	-0.92352834368575	0.615648171032118	-0.825514131574948	-0.569172879846802	2.09067916428255	-0.0780188835789868	0.312596964041703	0.605007023245595	0.751694771804402	1.48170511818555	0.409288318739352	0.737333446809897	0.946246596310237	-0.114921508361048	-0.284792504670376
CID3941	Punctuated	Breast cancer	0.255090370762888	0.222017876932601	0.980461770722565	0.783324107977015	-0.566906757303891	0.135735027795575	1.09432314834561	-1.48844726639823	0.350521908054917	-0.196749183806514	-0.403295258597845	-0.640500913845436	-1.09468272147197	0.238789712373416	1.5175042265867	0.740665291841017	-0.796425133854069	-1.28200300538757	-1.25352151856687	0.358160058832279	-0.477336956730247	-0.0654763388089663	0.630084488705854	-0.411561147839037	-0.0499654449451844	-1.25677348536041	-0.546623209078868	-0.244608243774792	-0.325629628424355	-1.24498228467189	-0.652688280044536	-0.722296058849664	-0.369327165225255	0.454279487088709	-0.944531386290145	-0.769182516663017	-0.326054518564459	-0.708985494581967	-2.09210961220879	-0.266784789380506	-0.916155575408458	-0.319134158446461	0.642321739600586	0.246538959821548	0.594112565736228	-0.195176179394845	0.606075292579436	1.05035549841156	0.690579833426636	-0.68386229630746
CID3948	Branching	Breast cancer	-0.581846157694979	0.622363508272083	0.739982440787794	0.225311881984309	-1.29567802013912	-0.432537732140615	1.17055872337007	-0.920373232854287	-0.273726497563694	-0.371137150808442	-0.0481936934237581	-0.424821389375286	-0.909190575175994	0.137720233038869	1.99548856405838	1.00833748178933	-0.998375986687984	-0.995136804381361	-1.44632259169864	-0.663079252389282	-0.66763942552926	-0.0339603571389161	0.932590437130287	0.136754102605398	0.406058532084617	0.899342778876879	0.908800066262096	0.402322017341885	-0.238815423591061	-1.25308341271669	-0.505821399831855	-1.25061032649396	-0.924881312483679	0.239607376515175	-1.10461679393199	-1.1800193064286	-0.187465584168968	-0.736837044633144	-0.884950454522909	-0.228371325215932	-0.925679601767312	-1.15034946879119	0.74905570633325	0.0881753442033263	0.976718986352136	1.0762921508587	0.169698141021854	0.024675959082812	-0.564085111918871	-0.951863473384202
CID4067	Punctuated	Breast cancer	0.491555652170932	-1.36729120311946	0.0113412792110775	0.0261287344976359	-0.697983563719868	0.0184632929665367	0.263623479647997	0.586143959088065	0.680476373454458	-0.130213382436227	-1.21910228936378	-0.91609889955784	-0.945104121511761	0.610586254992748	3.08069612854698	2.50235859103229	-0.773579500303222	-0.979245621933728	-0.391290288706148	-0.372507491495111	-0.692485323568783	-0.368872126172531	-1.04669063020586	-1.5919464475283	-0.76597868659357	-2.14192375078484	-1.69958132565896	-0.108413849259869	-1.03765101301136	-0.94770597329382	-0.800696742737639	-1.3635272625854	-1.20071661656683	0.607825772176284	-0.549304678365409	-0.846468581073317	-0.830699975330163	-0.720642954302321	-0.437371251302096	-1.19489910744458	0.39370408076516	-1.95700793848533	1.05459542183524	0.804107643210354	0.0804197714177143	0.221226356828197	0.324240632479695	-0.0771101587442288	-1.02981727904022	-0.852168183214335
CID4290A	Punctuated	Breast cancer	0.165011868053209	-2.34526225053593	0.798340476715211	0.124253476860459	-0.340900480794562	0.642141801380626	-0.970981149908349	0.0352808142298409	0.661489297916569	-0.120017748034094	-2.03723777735679	-0.932210124219549	-1.61668437199714	0.571476054038041	1.71581074785409	1.10529656097802	-0.791449739675419	-1.50994568880774	-0.576830135327082	-0.527786677590166	-0.207657575596355	-0.282924014904266	-1.8243529894752	-1.82938053745859	-1.1721703020028	-2.69477539469596	-2.29531871749891	1.41217767685099	-1.46944920021128	-1.39355937070405	-1.0097923499762	-1.38518969013153	-0.632691669465318	0.742985399648517	-0.266569533034453	-0.801450222625736	0.442181715340383	-0.637582348789996	-0.0957712147372153	-0.694365028949119	0.589956175617109	-2.0831395368864	-0.558758221515271	0.842566554381731	-0.0448081333553079	-0.261084481267999	0.746107253437393	-0.967087388625911	-0.423238323389261	-0.831693953594762
CID44041	Punctuated	Breast cancer	0.853361098138587	0.033289632411355	-0.210957746734657	0.875879754186613	0.176584505468274	1.15442514022321	1.03031501839643	-0.36501064211338	-1.47575077877212	0.178421556431583	0.121580848622344	-1.95655773214427	-2.11439487754308	1.22873379679307	0.209214933909327	-1.14420043350948	-0.222426296733359	-1.99314222128898	-1.3783475722166	0.593050093258612	-1.6111263332725	0.469697585950541	-0.0948338651730667	-0.490276344697125	-0.0946611726973285	0.457669963470025	0.24404516302688	0.983065423344707	0.601375578938659	-1.90078536640501	-2.42350754513778	-1.70914483265078	-1.58856198782305	1.2695954697585	1.23124457554449	-1.0314974090389	-1.78866110470946	0.600590170260364	-0.584045242125879	-0.700527002104536	0.145115816688722	-2.09986293187441	-0.840073369262098	0.0939644391781118	0.0741652522599844	-1.399743700227	1.28283439479429	-1.68819820302254	0.15982098274542	-0.33098260640255
CID4461	Punctuated	Breast cancer	0.28327895538929	-1.30115060590849	-0.762218617697626	0.803177355195733	-0.77990691949919	0.0438828559422658	-0.47676610820471	0.368892548411752	-0.435845147445418	0.699576903603617	-0.923825850125972	-0.898017043831408	0.0492916738632441	0.353833122486096	1.04799385689011	0.890621491702441	-0.268314761000551	-0.561448944534326	-0.669123558559023	0.150902853545072	-1.42231777874308	-0.381151918976996	-1.25895904397723	-0.822018407894677	-1.22480902121199	0.319566210649395	-0.318952950072645	0.860014527923612	-1.00633997106673	-1.83610863548024	-0.914547474821563	-0.401501587711128	-0.356481236733907	0.568606109641811	-2.39422054735738	-0.3170854496632	-1.88293500118923	-1.33863181893537	0.0543587795308023	-2.76588927469279	-0.21366303232934	-0.311041825686326	0.790474638094302	-0.27124850955491	-0.428450074266482	0.31274022377867	-0.411112508754901	-0.61648929050464	0.0111939098291849	-0.683320178637251
CID4463	Punctuated	Breast cancer	0.895798957567281	-1.17720599580849	-0.262134514913794	-0.105204034839751	-1.09760349809297	0.582028038288924	-0.508911621056605	2.19635535082362	0.834411729084886	0.573728627709705	-0.962993793602091	0.840556636989045	-0.219696552792766	0.0921623134612599	3.0789460755663	3.22642943851642	0.529913090007419	-0.700127394138525	-0.0547960302738867	-1.35893028274364	-1.38121343492335	-0.0733020748190471	-1.68201947628526	-0.900657312540049	-0.848112856544823	-0.38494744615078	-0.796625677681382	1.31820799595437	-0.993269348828532	-1.30198045008322	0.0059273778177797	-0.550004156170613	0.340102516190487	0.593112249469402	-2.3307991499963	0.13742336268046	-1.35813361205599	-0.744360998713724	1.46916391312765	-2.25326346406679	0.324994532175767	-1.17240940691627	1.19298828594763	-1.32126698697364	-0.594636478465523	0.602228423006009	-0.578184754306086	-1.07013947415898	-2.0532670988249	0.397881487463187
CID4465	Branching	Breast cancer	0.65722449507788	-0.595677665226291	0.479903817383318	1.10745897578091	0.209742668797858	0.180289623250659	0.405156601579718	0.221861441595362	-0.204137819747499	1.7010856666603	0.435603861263446	-0.74520861861851	0.980632386822676	1.5818744873097	-0.459244708181783	-0.396893974687917	-0.104448269618554	0.550329404238826	0.745781510378253	0.18981955830789	-0.871895195163153	0.80382547019432	-0.384009248772137	0.423285715874148	0.319929895074436	0.0789048434154769	0.198340691200353	0.162492397249789	0.819215428257683	0.508732072535494	0.0810964769180484	-0.0855331881985183	-0.4415313410527	0.830752973870709	-0.122213918698854	-0.313480035094556	-0.685420457186742	-0.462904032866689	-0.642076405907564	-1.96514649008686	0.603383276719802	-0.681985066248188	1.9646013191518	1.15840391543525	0.51007719242297	0.45959473097505	0.901684159220534	0.467470779121401	1.41405085643723	0.00109938564711338
