pvalue	lable	noise	model
0.166090037606381	1	0	Neutral
0.173344798881981	1	0	Neutral
0.112907784971111	1	0	Neutral
0.693531469841776	1	0	Neutral
0.197731569251038	1	0	Neutral
0.138257044763063	1	0	Neutral
0.123811611913261	1	0	Neutral
0.20472829690903	1	0	Neutral
0.171878889236118	0	0	Neutral
0.139344936927421	1	0	Neutral
0.148953669006927	1	0	Neutral
0.207703795077859	1	0	Neutral
0.403455592095891	1	0	Neutral
0.234143947727928	1	0	Neutral
0.200015193252264	1	0	Neutral
0.175363822611291	1	0	Neutral
0.118290373463366	1	0	Neutral
0.58753314686521	1	0	Neutral
0.472618973092736	0	0	Neutral
0.503724778231255	1	0	Neutral
0.216000855623332	1	0	Neutral
0.303636274190361	1	0	Neutral
0.32596725896499	1	0	Neutral
0.150044743299618	1	0	Neutral
0.173007215115144	1	0	Neutral
0.545239017208116	1	0	Neutral
0.0541600384166814	1	0	Neutral
0.280676064322763	1	0	Neutral
0.107839922564007	0	0	Neutral
0.0664852794730694	1	0	Neutral
0.576049583212103	0	0	Neutral
0.628726528680112	0	0	Neutral
0.317322773084002	1	0	Neutral
0.229482535420907	1	0	Neutral
0.067859543616843	1	0	Neutral
0.26450819387293	1	0	Neutral
0.374739871090643	0	0	Neutral
0.456386683586303	1	0	Neutral
0.246703432977267	1	0	Neutral
0.247871607668272	1	0	Neutral
0.483518941626807	1	0	Neutral
0.61787133919256	0	0	Neutral
0.215232272678299	0	0	Neutral
0.183047007777792	1	0	Neutral
0.255336516125923	1	0	Neutral
0.720599236306973	0	0	Neutral
0.118101003930465	1	0	Neutral
0.218330578689381	1	0	Neutral
0.815173682127483	1	0	Neutral
0.516330660722179	1	0	Neutral
0.563661728150258	1	0	Neutral
0.220272675043564	0	0	Neutral
0.417934881695565	1	0	Neutral
0.131660634447068	1	0	Neutral
0.360578262381541	0	0	Neutral
0.574142756771324	1	0	Neutral
0.338628290268861	1	0	Neutral
0.48245260903553	1	0	Neutral
0.124943210062628	1	0	Neutral
0.471368734966649	1	0	Neutral
0.144983426212071	0	0	Neutral
0.473945892062461	0	0	Neutral
0.186964782238835	1	0	Neutral
0.371831951509375	0	0	Neutral
0.189268519624044	1	0	Neutral
0.0121699158288066	1	0	Neutral
0.098432701156479	1	0	Neutral
0.39278359421196	0	0	Neutral
0.343515708872492	0	0	Neutral
0.293816207721577	1	0	Neutral
0.0909750866488528	0	0	Neutral
0.232286596158058	1	0	Neutral
0.725316565277467	1	0	Neutral
0.0824869629227243	1	0	Neutral
0.528710494511377	1	0	Neutral
0.342967533516521	1	0	Neutral
0.497282704445912	1	0	Neutral
0.585898973726153	1	0	Neutral
0.31861315571106	1	0	Neutral
0.389356011052612	1	0	Neutral
0.329611519838	1	0	Neutral
0.133872702463193	1	0	Neutral
0.042399451196805	1	0	Neutral
