CNV	freq	event_N	Nth_simu
chr1_.2	0.391509433962264	83	1
chr1_.4	0.216981132075472	46	1
chr1_.6	0.391509433962264	83	1
chr1_.8	0.216981132075472	46	1
chr1_.9	0.226415094339623	48	1
chr1_.11	0.226415094339623	48	1
chr1_.13	0.415094339622642	88	1
chr1_.16	0.415094339622642	88	1
chr1_.17	0.165094339622642	35	1
chr1_.18	0.415094339622642	88	1
chr1_.22	0.165094339622642	35	1
chr1_.30	0.226415094339623	48	1
chr1_.32	0.216981132075472	46	1
chr1_.34	0.226415094339623	48	1
chr1_.37	0.216981132075472	46	1
chr1_.47	0.216981132075472	46	1
chr1_.49	0.188679245283019	40	1
chr1_.50	0.216981132075472	46	1
chr1_.53	0.188679245283019	40	1
chr1_.54	0.188679245283019	40	1
chr1_.59	0.391509433962264	83	1
chr1_.62	0.188679245283019	40	1
chr1_.64	0.391509433962264	83	1
chr1_.65	0.202830188679245	43	1
chr1_.67	0.202830188679245	43	1
chr1_.68	0.226415094339623	48	1
chr1_.70	0.382075471698113	81	1
chr1_.72	1	212	1
chr1_.74	1	212	1
chr1_.76	0.382075471698113	81	1
chr1_.84	0.216981132075472	46	1
chr1_.88	0.216981132075472	46	1
chr1_.92	0.382075471698113	81	1
chr1_.94	0.834905660377358	177	1
chr1_.95	0.165094339622642	35	1
chr1_.99	0.617924528301887	131	1
chr1_.100	0.216981132075472	46	1
chr1_.101	0.35377358490566	75	1
chr1_.103	0.391509433962264	83	1
chr1_.105	0.415094339622642	88	1
chr1_.107	0.216981132075472	46	1
chr1_.119	0.382075471698113	81	1
chr1_.124	0.382075471698113	81	1
chr1_.134	0.834905660377358	177	1
chr1_.135	0.216981132075472	46	1
chr1_.136	0.783018867924528	166	1
chr1_.137	0.617924528301887	131	1
chr1_.140	0.165094339622642	35	1
chr1_.142	1	212	1
chr1_.150	1	212	1
chr1_.152	0.226415094339623	48	1
chr1_.153	0.608490566037736	129	1
chr1_.157	0.165094339622642	35	1
chr1_.161	1	212	1
chr1_.162	0.188679245283019	40	1
chr1_.164	0.226415094339623	48	1
chr1_.165	0.608490566037736	129	1
chr1_.167	0.188679245283019	40	1
chr1_.169	0.165094339622642	35	1
chr1_.172	0.165094339622642	35	1
chr1_.173	0.617924528301887	131	1
chr1_.174	0.165094339622642	35	1
chr1_.175	0.834905660377358	177	1
chr1_.177	0.216981132075472	46	1
chr1_.186	0.226415094339623	48	1
chr1_.188	0.226415094339623	48	1
chr1_.201	1	212	1
chr1_.204	1	212	1
chr1_.217	0.382075471698113	81	1
chr1_.218	0.834905660377358	177	1
chr1_.221	0.216981132075472	46	1
chr1_.223	1	212	1
chr1_.224	0.188679245283019	40	1
