CNV	freq	event_N	Nth_simu
chr1_.3	0.858407079646018	291	1
chr1_.4	0.858407079646018	291	1
chr1_.11	0.952802359882006	323	1
chr1_.15	0.952802359882006	323	1
chr1_.17	0.858407079646018	291	1
chr1_.19	0.952802359882006	323	1
chr1_.22	0.952802359882006	323	1
chr1_.26	0.023598820058997	8	1
chr1_.27	0.952802359882006	323	1
chr1_.30	0.976401179941003	331	1
chr1_.35	0.893805309734513	303	1
chr1_.40	0.893805309734513	303	1
chr1_.50	0.858407079646018	291	1
chr1_.51	0.0943952802359882	32	1
chr1_.56	0.0471976401179941	16	1
chr1_.58	0.858407079646018	291	1
chr1_.60	1	339	1
chr1_.62	0.976401179941003	331	1
chr1_.65	0.811209439528024	275	1
chr1_.68	0.811209439528024	275	1
chr1_.84	0.811209439528024	275	1
chr1_.87	0.811209439528024	275	1
chr1_.92	0.926253687315634	314	1
chr1_.97	0.926253687315634	314	1
chr1_.122	0.811209439528024	275	1
chr1_.124	0.811209439528024	275	1
chr1_.134	0.893805309734513	303	1
chr1_.136	0.893805309734513	303	1
chr1_.139	0.997050147492625	338	1
chr1_.140	0.976401179941003	331	1
chr1_.142	0.997050147492625	338	1
chr1_.146	0.858407079646018	291	1
chr1_.148	0.858407079646018	291	1
chr1_.149	0.138643067846608	47	1
chr1_.152	0.858407079646018	291	1
chr1_.156	0.997050147492625	338	1
chr1_.161	0.997050147492625	338	1
chr1_.165	0.997050147492625	338	1
chr1_.170	0.976401179941003	331	1
chr1_.175	0.976401179941003	331	1
chr1_.177	0.997050147492625	338	1
chr1_.180	0.997050147492625	338	1
chr1_.183	0.926253687315634	314	1
chr1_.185	0.926253687315634	314	1
chr1_.187	0.0678466076696165	23	1
chr1_.188	0.858407079646018	291	1
chr1_.190	0.858407079646018	291	1
chr1_.195	0.926253687315634	314	1
chr1_.196	0.926253687315634	314	1
chr1_.217	0.976401179941003	331	1
chr1_.221	0.976401179941003	331	1
chr1_.222	0.023598820058997	8	1
chr1_.225	0.997050147492625	338	1
chr1_.227	0.00294985250737463	1	1
chr1_.228	0.997050147492625	338	1
chr1_.230	0.858407079646018	291	1
chr1_.234	0.0353982300884956	12	1
chr1_.236	0.0589970501474926	20	1
chr1_.239	0.952802359882006	323	1
chr1_.244	0.952802359882006	323	1
chr1_.247	0.952802359882006	323	1
chr1_.251	0.811209439528024	275	1
chr1_.253	1	339	1
chr1_.259	0.811209439528024	275	1
chr1_.262	0.952802359882006	323	1
chr1_.265	0.952802359882006	323	1
chr1_.266	0.952802359882006	323	1
chr1_.273	0.952802359882006	323	1
chr1_.277	0.952802359882006	323	1
chr1_.284	0.952802359882006	323	1
chr1_.292	0.952802359882006	323	1
chr1_.293	0.952802359882006	323	1
chr1_.296	0.858407079646018	291	1
chr1_.300	0.0353982300884956	12	1
chr1_.306	0.0353982300884956	12	1
chr1_.307	0.858407079646018	291	1
chr1_.309	0.976401179941003	331	1
chr1_.311	1	339	1
chr1_.319	0.976401179941003	331	1
chr1_.321	0.0501474926253687	17	1
chr1_.325	1	339	1
chr1_.327	0.106194690265487	36	1
chr1_.329	0.861356932153392	292	1
chr1_.332	1	339	1
chr1_.335	0.926253687315634	314	1
chr1_.337	0.926253687315634	314	1
chr1_.347	0.858407079646018	291	1
chr1_.353	0.0471976401179941	16	1
chr1_.357	0.188790560471976	64	1
chr1_.364	0.141592920353982	48	1
chr1_.365	0.858407079646018	291	1
chr1_.374	0.811209439528024	275	1
chr1_.376	0.811209439528024	275	1
chr1_.377	0.997050147492625	338	1
chr1_.378	0.811209439528024	275	1
chr1_.379	0.997050147492625	338	1
chr1_.380	0.811209439528024	275	1
chr1_.381	0.997050147492625	338	1
chr1_.383	0.997050147492625	338	1
chr1_.385	0.811209439528024	275	1
chr1_.386	0.141592920353982	48	1
chr1_.387	0.023598820058997	8	1
chr1_.390	1	339	1
chr1_.392	1	339	1
chr1_.393	0.858407079646018	291	1
chr1_.395	0.858407079646018	291	1
chr1_.399	0.858407079646018	291	1
chr1_.400	0.0353982300884956	12	1
chr1_.402	0.0353982300884956	12	1
chr1_.403	0.858407079646018	291	1
chr1_.407	0.843657817109145	286	1
chr1_.408	0.811209439528024	275	1
chr1_.409	0.893805309734513	303	1
chr1_.410	0.926253687315634	314	1
chr1_.414	0.926253687315634	314	1
chr1_.419	0.893805309734513	303	1
chr1_.421	0.893805309734513	303	1
chr1_.426	0.997050147492625	338	1
chr1_.429	0.997050147492625	338	1
chr1_.433	0.926253687315634	314	1
chr1_.437	0.976401179941003	331	1
chr1_.439	0.0206489675516224	7	1
chr1_.445	0.997050147492625	338	1
chr1_.447	0.811209439528024	275	1
chr1_.449	0.811209439528024	275	1
chr1_.454	0.952802359882006	323	1
chr1_.456	1	339	1
chr1_.458	0.997050147492625	338	1
chr1_.460	1	339	1
chr1_.462	0.997050147492625	338	1
chr1_.465	0.952802359882006	323	1
chr1_.467	0.185840707964602	63	1
chr1_.468	0.952802359882006	323	1
chr1_.469	0.997050147492625	338	1
chr1_.472	0.811209439528024	275	1
chr1_.473	0.997050147492625	338	1
chr1_.475	0.997050147492625	338	1
chr1_.477	0.0678466076696165	23	1
chr1_.485	0.858407079646018	291	1
chr1_.491	0.858407079646018	291	1
chr1_.500	1	339	1
chr1_.6	0.987421383647799	314	2
chr1_.11	0.987421383647799	314	2
chr1_.12	0.943396226415094	300	2
chr1_.16	0.943396226415094	300	2
chr1_.20	0.871069182389937	277	2
chr1_.25	1	318	2
chr1_.28	1	318	2
chr1_.33	0.0754716981132075	24	2
chr1_.34	0.911949685534591	290	2
chr1_.35	0.987421383647799	314	2
chr1_.36	0.823899371069182	262	2
chr1_.38	0.871069182389937	277	2
chr1_.40	0.823899371069182	262	2
chr1_.41	0.0471698113207547	15	2
chr1_.49	0.943396226415094	300	2
chr1_.53	0.943396226415094	300	2
chr1_.54	0.943396226415094	300	2
chr1_.58	1	318	2
chr1_.59	0.10377358490566	33	2
chr1_.62	0.0251572327044025	8	2
chr1_.64	0.871069182389937	277	2
chr1_.75	0.943396226415094	300	2
chr1_.81	0.0440251572327044	14	2
chr1_.83	0.943396226415094	300	2
chr1_.85	0.987421383647799	314	2
chr1_.88	1	318	2
chr1_.91	0.823899371069182	262	2
chr1_.93	1	318	2
chr1_.95	0.823899371069182	262	2
chr1_.97	1	318	2
chr1_.98	1	318	2
chr1_.99	1	318	2
chr1_.102	1	318	2
chr1_.125	0.911949685534591	290	2
chr1_.128	0.823899371069182	262	2
chr1_.129	0.0880503144654088	28	2
chr1_.131	0.823899371069182	262	2
chr1_.133	0.163522012578616	52	2
chr1_.136	0.116352201257862	37	2
chr1_.137	0.871069182389937	277	2
chr1_.139	0.871069182389937	277	2
chr1_.142	0.871069182389937	277	2
chr1_.145	0.871069182389937	277	2
chr1_.152	0.823899371069182	262	2
chr1_.154	0.823899371069182	262	2
chr1_.156	0.823899371069182	262	2
chr1_.161	0.943396226415094	300	2
chr1_.164	0.943396226415094	300	2
chr1_.173	0.871069182389937	277	2
chr1_.179	0.943396226415094	300	2
chr1_.182	0.911949685534591	290	2
chr1_.183	0.943396226415094	300	2
chr1_.187	0.943396226415094	300	2
chr1_.202	0.911949685534591	290	2
chr1_.203	0.0628930817610063	20	2
chr1_.205	0.0251572327044025	8	2
chr1_.207	0.0251572327044025	8	2
chr1_.208	0.0628930817610063	20	2
chr1_.210	0.911949685534591	290	2
chr1_.229	0.823899371069182	262	2
chr1_.233	0.119496855345912	38	2
chr1_.236	0.974842767295597	310	2
chr1_.256	0.871069182389937	277	2
chr1_.258	0.871069182389937	277	2
chr1_.263	0.943396226415094	300	2
chr1_.271	0.0314465408805031	10	2
chr1_.273	1	318	2
chr1_.275	1	318	2
chr1_.276	0.0880503144654088	28	2
chr1_.277	0.89937106918239	286	2
chr1_.278	0.943396226415094	300	2
chr1_.281	0.0754716981132075	24	2
chr1_.282	0.943396226415094	300	2
chr1_.285	0.911949685534591	290	2
chr1_.288	0.823899371069182	262	2
chr1_.295	0.823899371069182	262	2
chr1_.296	0.943396226415094	300	2
chr1_.297	0.0471698113207547	15	2
chr1_.298	0.943396226415094	300	2
chr1_.300	1	318	2
chr1_.302	1	318	2
chr1_.303	0.128930817610063	41	2
chr1_.305	1	318	2
chr1_.307	1	318	2
chr1_.311	0.823899371069182	262	2
chr1_.312	0.823899371069182	262	2
chr1_.317	0.823899371069182	262	2
chr1_.319	0.823899371069182	262	2
chr1_.324	0.974842767295597	310	2
chr1_.329	0.974842767295597	310	2
chr1_.334	0.974842767295597	310	2
chr1_.339	0.974842767295597	310	2
chr1_.340	1	318	2
chr1_.342	1	318	2
chr1_.345	0.823899371069182	262	2
chr1_.349	1	318	2
chr1_.353	1	318	2
chr1_.355	0.0880503144654088	28	2
chr1_.356	0.823899371069182	262	2
chr1_.359	0.823899371069182	262	2
chr1_.361	0.943396226415094	300	2
chr1_.367	0.0408805031446541	13	2
chr1_.369	0.871069182389937	277	2
chr1_.379	0.0471698113207547	15	2
chr1_.380	0.823899371069182	262	2
chr1_.381	0.871069182389937	277	2
chr1_.382	0.0408805031446541	13	2
chr1_.386	0.911949685534591	290	2
chr1_.387	0.0880503144654088	28	2
chr1_.388	0.911949685534591	290	2
chr1_.391	1	318	2
chr1_.392	1	318	2
chr1_.393	1	318	2
chr1_.395	0.974842767295597	310	2
chr1_.397	0.974842767295597	310	2
chr1_.404	0.871069182389937	277	2
chr1_.406	0.871069182389937	277	2
chr1_.422	0.911949685534591	290	2
chr1_.424	0.911949685534591	290	2
chr1_.425	0.871069182389937	277	2
chr1_.428	0.128930817610063	41	2
chr1_.430	1	318	2
chr1_.432	0.974842767295597	310	2
chr1_.433	1	318	2
chr1_.435	0.987421383647799	314	2
chr1_.436	0.0125786163522013	4	2
chr1_.437	0.911949685534591	290	2
chr1_.440	0.911949685534591	290	2
chr1_.452	0.943396226415094	300	2
chr1_.454	0.943396226415094	300	2
chr1_.457	0.943396226415094	300	2
chr1_.459	1	318	2
chr1_.463	0.823899371069182	262	2
chr1_.464	0.128930817610063	41	2
chr1_.465	0.823899371069182	262	2
chr1_.466	0.974842767295597	310	2
chr1_.473	0.974842767295597	310	2
chr1_.475	0.871069182389937	277	2
chr1_.478	0.943396226415094	300	2
chr1_.481	0.943396226415094	300	2
chr1_.483	0.871069182389937	277	2
chr1_.485	0.987421383647799	314	2
chr1_.486	0.0440251572327044	14	2
chr1_.489	0.867924528301887	276	2
chr1_.490	0.0471698113207547	15	2
chr1_.493	0.0471698113207547	15	2
chr1_.495	0.823899371069182	262	2
chr1_.500	1	318	2
chr1_.5	0.968181818181818	213	3
chr1_.6	0.0318181818181818	7	3
chr1_.9	0.9	198	3
chr1_.13	0.1	22	3
chr1_.20	0.0318181818181818	7	3
chr1_.22	0.790909090909091	174	3
chr1_.23	0.0318181818181818	7	3
chr1_.26	0.136363636363636	30	3
chr1_.28	0.0272727272727273	6	3
chr1_.30	0.9	198	3
chr1_.33	0.927272727272727	204	3
chr1_.38	0.159090909090909	35	3
chr1_.39	0.927272727272727	204	3
chr1_.40	0.95	209	3
chr1_.45	0.9	198	3
chr1_.49	0.0318181818181818	7	3
chr1_.51	0.927272727272727	204	3
chr1_.53	0.959090909090909	211	3
chr1_.72	0.790909090909091	174	3
chr1_.74	0.836363636363636	184	3
chr1_.78	0.0454545454545455	10	3
chr1_.80	0.927272727272727	204	3
chr1_.88	0.9	198	3
chr1_.89	0.0318181818181818	7	3
chr1_.90	0.854545454545454	188	3
chr1_.91	0.0545454545454545	12	3
chr1_.93	0.0954545454545455	21	3
chr1_.99	0.9	198	3
chr1_.103	0.9	198	3
chr1_.110	0.0318181818181818	7	3
chr1_.115	0.159090909090909	35	3
chr1_.117	0.95	209	3
chr1_.119	0.0454545454545455	10	3
chr1_.122	0.95	209	3
chr1_.126	0.0318181818181818	7	3
chr1_.128	0.9	198	3
chr1_.129	0.0318181818181818	7	3
chr1_.135	0.927272727272727	204	3
chr1_.136	0.9	198	3
chr1_.137	0.0272727272727273	6	3
chr1_.139	0.790909090909091	174	3
chr1_.142	0.209090909090909	46	3
chr1_.146	1	220	3
chr1_.152	0.9	198	3
chr1_.165	0.927272727272727	204	3
chr1_.168	0.927272727272727	204	3
chr1_.171	0.927272727272727	204	3
chr1_.177	0.0318181818181818	7	3
chr1_.178	0.0318181818181818	7	3
chr1_.179	0.0318181818181818	7	3
chr1_.189	1	220	3
chr1_.194	0.854545454545454	188	3
chr1_.196	0.854545454545454	188	3
chr1_.201	0.854545454545454	188	3
chr1_.204	0.854545454545454	188	3
chr1_.221	0.95	209	3
chr1_.229	0.886363636363636	195	3
chr1_.231	0.0954545454545455	21	3
chr1_.234	0.0318181818181818	7	3
chr1_.262	0.927272727272727	204	3
chr1_.263	0.9	198	3
chr1_.264	0.927272727272727	204	3
chr1_.265	0.9	198	3
chr1_.274	0.0454545454545455	10	3
chr1_.275	0.954545454545455	210	3
chr1_.277	0.0454545454545455	10	3
chr1_.279	0.0454545454545455	10	3
chr1_.281	0.0454545454545455	10	3
chr1_.284	0.95	209	3
chr1_.292	0.0318181818181818	7	3
chr1_.303	0.790909090909091	174	3
chr1_.305	0.95	209	3
chr1_.307	0.95	209	3
chr1_.309	0.790909090909091	174	3
chr1_.311	0.9	198	3
chr1_.316	0.9	198	3
chr1_.318	0.9	198	3
chr1_.329	0.0136363636363636	3	3
chr1_.331	0.0454545454545455	10	3
chr1_.335	0.0318181818181818	7	3
chr1_.337	0.95	209	3
chr1_.339	0.95	209	3
chr1_.342	0.927272727272727	204	3
chr1_.346	0.927272727272727	204	3
chr1_.366	0.790909090909091	174	3
chr1_.367	0.927272727272727	204	3
chr1_.369	0.0227272727272727	5	3
chr1_.370	0.790909090909091	174	3
chr1_.371	0.95	209	3
chr1_.374	0.0727272727272727	16	3
chr1_.376	0.9	198	3
chr1_.378	0.1	22	3
chr1_.379	0.9	198	3
chr1_.380	0.0318181818181818	7	3
chr1_.381	1	220	3
chr1_.382	0.0318181818181818	7	3
chr1_.383	0.854545454545454	188	3
chr1_.388	0.0727272727272727	16	3
chr1_.389	0.790909090909091	174	3
chr1_.390	0.0636363636363636	14	3
chr1_.392	0.95	209	3
chr1_.393	0.95	209	3
chr1_.394	0.790909090909091	174	3
chr1_.396	1	220	3
chr1_.398	0.95	209	3
chr1_.401	1	220	3
chr1_.420	0.854545454545454	188	3
chr1_.422	0.854545454545454	188	3
chr1_.424	1	220	3
chr1_.434	0.9	198	3
chr1_.435	0.854545454545454	188	3
chr1_.439	0.0454545454545455	10	3
chr1_.447	0.0454545454545455	10	3
chr1_.449	0.0454545454545455	10	3
chr1_.451	0.0227272727272727	5	3
chr1_.453	0.0227272727272727	5	3
chr1_.455	0.0454545454545455	10	3
chr1_.457	0.0454545454545455	10	3
chr1_.460	0.0454545454545455	10	3
chr1_.461	0.927272727272727	204	3
chr1_.463	0.927272727272727	204	3
chr1_.476	0.0318181818181818	7	3
chr1_.478	0.0318181818181818	7	3
chr1_.482	0.95	209	3
chr1_.483	0.854545454545454	188	3
chr1_.485	0.95	209	3
chr1_.489	0.854545454545454	188	3
chr1_.500	1	220	3
chr1_.15	0.996336996336996	272	4
chr1_.18	0.956043956043956	261	4
chr1_.20	0.996336996336996	272	4
chr1_.39	0.956043956043956	261	4
chr1_.41	0.838827838827839	229	4
chr1_.43	0.117216117216117	32	4
chr1_.44	0.838827838827839	229	4
chr1_.49	0.838827838827839	229	4
chr1_.53	0.117216117216117	32	4
chr1_.55	0.838827838827839	229	4
chr1_.57	0.838827838827839	229	4
chr1_.59	0.93040293040293	254	4
chr1_.61	0.956043956043956	261	4
chr1_.72	1	273	4
chr1_.77	0.0915750915750916	25	4
chr1_.78	0.838827838827839	229	4
chr1_.81	0.838827838827839	229	4
chr1_.89	0.996336996336996	272	4
chr1_.92	0.996336996336996	272	4
chr1_.130	0.996336996336996	272	4
chr1_.132	0.996336996336996	272	4
chr1_.133	0.93040293040293	254	4
chr1_.135	0.93040293040293	254	4
chr1_.140	0.838827838827839	229	4
chr1_.143	0.838827838827839	229	4
chr1_.175	0.89010989010989	243	4
chr1_.181	0.996336996336996	272	4
chr1_.183	0.838827838827839	229	4
chr1_.184	0.838827838827839	229	4
chr1_.185	0.157509157509158	43	4
chr1_.187	0.996336996336996	272	4
chr1_.189	0.956043956043956	261	4
chr1_.201	0.89010989010989	243	4
chr1_.204	0.89010989010989	243	4
chr1_.207	0.0402930402930403	11	4
chr1_.211	0.0402930402930403	11	4
chr1_.213	0.89010989010989	243	4
chr1_.216	0.89010989010989	243	4
chr1_.217	0.89010989010989	243	4
chr1_.222	0.89010989010989	243	4
chr1_.226	1	273	4
chr1_.228	1	273	4
chr1_.263	0.10989010989011	30	4
chr1_.266	0.10989010989011	30	4
chr1_.283	0.93040293040293	254	4
chr1_.288	0.0915750915750916	25	4
chr1_.291	0.838827838827839	229	4
chr1_.292	0.157509157509158	43	4
chr1_.295	0.956043956043956	261	4
chr1_.296	0.0402930402930403	11	4
chr1_.297	0.956043956043956	261	4
chr1_.299	0.956043956043956	261	4
chr1_.301	0.956043956043956	261	4
chr1_.310	0.93040293040293	254	4
chr1_.323	0.956043956043956	261	4
chr1_.325	0.956043956043956	261	4
chr1_.327	0.89010989010989	243	4
chr1_.329	0.956043956043956	261	4
chr1_.340	0.89010989010989	243	4
chr1_.342	0.0695970695970696	19	4
chr1_.343	0.93040293040293	254	4
chr1_.345	1	273	4
chr1_.346	1	273	4
chr1_.348	0.93040293040293	254	4
chr1_.352	0.838827838827839	229	4
chr1_.354	0.838827838827839	229	4
chr1_.355	0.956043956043956	261	4
chr1_.368	0.0402930402930403	11	4
chr1_.371	1	273	4
chr1_.379	0.838827838827839	229	4
chr1_.383	0.996336996336996	272	4
chr1_.388	0.996336996336996	272	4
chr1_.399	1	273	4
chr1_.404	1	273	4
chr1_.406	0.93040293040293	254	4
chr1_.410	0.93040293040293	254	4
chr1_.411	0.956043956043956	261	4
chr1_.414	0.043956043956044	12	4
chr1_.417	0.10989010989011	30	4
chr1_.419	0.89010989010989	243	4
chr1_.425	0.93040293040293	254	4
chr1_.427	0.93040293040293	254	4
chr1_.429	0.904761904761905	247	4
chr1_.432	0.996336996336996	272	4
chr1_.433	0.838827838827839	229	4
chr1_.434	0.996336996336996	272	4
chr1_.435	1	273	4
chr1_.467	0.956043956043956	261	4
chr1_.469	0.956043956043956	261	4
chr1_.473	0.956043956043956	261	4
chr1_.479	0.956043956043956	261	4
chr1_.498	0.996336996336996	272	4
chr1_.500	1	273	4
chr1_.1	0.894308943089431	220	5
chr1_.3	0.894308943089431	220	5
chr1_.4	0.105691056910569	26	5
chr1_.6	0.934959349593496	230	5
chr1_.7	0.0650406504065041	16	5
chr1_.9	0.934959349593496	230	5
chr1_.32	0.849593495934959	209	5
chr1_.41	0.849593495934959	209	5
chr1_.45	0.934959349593496	230	5
chr1_.47	0.0650406504065041	16	5
chr1_.49	0.105691056910569	26	5
chr1_.50	0.849593495934959	209	5
chr1_.51	0.105691056910569	26	5
chr1_.66	0.955284552845528	235	5
chr1_.93	0.849593495934959	209	5
chr1_.96	0.849593495934959	209	5
chr1_.98	0.849593495934959	209	5
chr1_.100	0.955284552845528	235	5
chr1_.105	0.955284552845528	235	5
chr1_.112	0.849593495934959	209	5
chr1_.148	0.983739837398374	242	5
chr1_.150	0.894308943089431	220	5
chr1_.152	0.934959349593496	230	5
chr1_.154	0.983739837398374	242	5
chr1_.155	0.934959349593496	230	5
chr1_.156	1	246	5
chr1_.160	0.934959349593496	230	5
chr1_.162	1	246	5
chr1_.168	0.934959349593496	230	5
chr1_.169	0.0650406504065041	16	5
chr1_.170	0.934959349593496	230	5
chr1_.173	0.955284552845528	235	5
chr1_.174	1	246	5
chr1_.188	0.934959349593496	230	5
chr1_.191	0.934959349593496	230	5
chr1_.198	0.983739837398374	242	5
chr1_.202	0.983739837398374	242	5
chr1_.204	0.934959349593496	230	5
