CNV	freq	event_N	Nth_simu
chr1_.2	0.012987012987013	3	1
chr1_.4	0.0346320346320346	8	1
chr1_.5	0.012987012987013	3	1
chr1_.6	0.0216450216450216	5	1
chr1_.7	0.012987012987013	3	1
chr1_.8	0.0216450216450216	5	1
chr1_.10	0.0216450216450216	5	1
chr1_.12	0.0216450216450216	5	1
chr1_.16	0.0346320346320346	8	1
chr1_.22	0.0346320346320346	8	1
chr1_.25	0.0346320346320346	8	1
chr1_.26	0.0303030303030303	7	1
chr1_.27	0.0346320346320346	8	1
chr1_.31	0.0303030303030303	7	1
chr1_.33	0.0346320346320346	8	1
chr1_.36	0.0346320346320346	8	1
chr1_.43	0.0216450216450216	5	1
chr1_.49	0.0216450216450216	5	1
chr1_.55	0.051948051948052	12	1
chr1_.56	0.80952380952381	187	1
chr1_.58	0.80952380952381	187	1
chr1_.60	0.0216450216450216	5	1
chr1_.63	0.0216450216450216	5	1
chr1_.64	0.0346320346320346	8	1
chr1_.66	0.0476190476190476	11	1
chr1_.68	0.0216450216450216	5	1
chr1_.70	0.0216450216450216	5	1
chr1_.72	0.0303030303030303	7	1
chr1_.73	0.012987012987013	3	1
chr1_.78	0.0346320346320346	8	1
chr1_.80	0.0346320346320346	8	1
chr1_.82	0.0432900432900433	10	1
chr1_.83	0.0216450216450216	5	1
chr1_.84	0.0303030303030303	7	1
chr1_.85	0.0216450216450216	5	1
chr1_.87	0.0303030303030303	7	1
chr1_.92	0.0303030303030303	7	1
chr1_.94	0.0216450216450216	5	1
chr1_.95	0.0346320346320346	8	1
chr1_.97	0.865800865800866	200	1
chr1_.100	0.0216450216450216	5	1
chr1_.101	0.80952380952381	187	1
chr1_.102	0.0346320346320346	8	1
chr1_.104	0.0346320346320346	8	1
chr1_.108	0.0346320346320346	8	1
chr1_.109	0.0303030303030303	7	1
chr1_.110	0.0476190476190476	11	1
chr1_.111	0.0303030303030303	7	1
chr1_.112	0.012987012987013	3	1
chr1_.115	0.80952380952381	187	1
chr1_.122	0.80952380952381	187	1
chr1_.123	0.0346320346320346	8	1
