CNV	freq	event_N	Nth_simu
chr1_.1	0.163793103448276	38	1
chr1_.2	0.258620689655172	60	1
chr1_.3	0.396551724137931	92	1
chr1_.4	0.137931034482759	32	1
chr1_.5	0.379310344827586	88	1
chr1_.6	0.327586206896552	76	1
chr1_.7	0.275862068965517	64	1
chr1_.8	0.586206896551724	136	1
chr1_.9	0.189655172413793	44	1
chr1_.10	0.258620689655172	60	1
chr1_.11	0.353448275862069	82	1
chr1_.12	0.267241379310345	62	1
chr1_.13	0.456896551724138	106	1
chr1_.14	0.439655172413793	102	1
chr1_.15	0.474137931034483	110	1
chr1_.16	0.155172413793103	36	1
chr1_.17	0.318965517241379	74	1
chr1_.18	0.336206896551724	78	1
chr1_.19	0.21551724137931	50	1
chr1_.20	0.241379310344828	56	1
chr1_.21	0.431034482758621	100	1
chr1_.22	0.0948275862068965	22	1
chr1_.23	0.353448275862069	82	1
chr1_.24	0.163793103448276	38	1
chr1_.25	0.0862068965517241	20	1
chr1_.26	0.672413793103448	156	1
chr1_.27	0.275862068965517	64	1
chr1_.28	0.681034482758621	158	1
chr1_.29	0.172413793103448	40	1
chr1_.30	0.456896551724138	106	1
chr1_.31	0.362068965517241	84	1
chr1_.32	0.525862068965517	122	1
chr1_.33	0.224137931034483	52	1
chr1_.34	0.198275862068966	46	1
chr1_.35	0.25	58	1
chr1_.36	0.181034482758621	42	1
chr1_.37	0.301724137931034	70	1
chr1_.38	0.344827586206897	80	1
chr1_.39	0.155172413793103	36	1
chr1_.40	0.353448275862069	82	1
chr1_.41	0.21551724137931	50	1
chr1_.42	0.241379310344828	56	1
chr1_.43	0.310344827586207	72	1
chr1_.44	0.232758620689655	54	1
chr1_.45	0.301724137931034	70	1
chr1_.46	0.181034482758621	42	1
chr1_.47	0.336206896551724	78	1
chr1_.48	0.258620689655172	60	1
chr1_.49	0.310344827586207	72	1
chr1_.50	0.224137931034483	52	1
chr1_.51	0.275862068965517	64	1
chr1_.52	0.103448275862069	24	1
chr1_.53	0.224137931034483	52	1
chr1_.54	0.112068965517241	26	1
chr1_.55	0.275862068965517	64	1
chr1_.56	0.129310344827586	30	1
chr1_.57	0.310344827586207	72	1
chr1_.58	0.310344827586207	72	1
chr1_.59	0.275862068965517	64	1
chr1_.60	0.241379310344828	56	1
chr1_.61	0.275862068965517	64	1
chr1_.62	0.198275862068966	46	1
chr1_.63	0.172413793103448	40	1
chr1_.64	0.129310344827586	30	1
chr1_.65	0.189655172413793	44	1
chr1_.66	0.379310344827586	88	1
chr1_.67	0.28448275862069	66	1
chr1_.68	0.310344827586207	72	1
chr1_.69	0.336206896551724	78	1
chr1_.70	0.267241379310345	62	1
chr1_.71	0.155172413793103	36	1
chr1_.72	0.405172413793103	94	1
chr1_.73	0.336206896551724	78	1
chr1_.74	0.163793103448276	38	1
chr1_.75	0.155172413793103	36	1
chr1_.76	0.551724137931034	128	1
chr1_.77	0.112068965517241	26	1
chr1_.78	0.336206896551724	78	1
chr1_.79	0.46551724137931	108	1
chr1_.80	0.310344827586207	72	1
chr1_.81	0.344827586206897	80	1
chr1_.82	0.301724137931034	70	1
chr1_.83	0.275862068965517	64	1
chr1_.84	0.336206896551724	78	1
chr1_.85	0.396551724137931	92	1
chr1_.86	0.181034482758621	42	1
chr1_.87	0.301724137931034	70	1
chr1_.88	0.172413793103448	40	1
chr1_.89	0.120689655172414	28	1
chr1_.90	0.241379310344828	56	1
chr1_.91	0.387931034482759	90	1
chr1_.92	0.181034482758621	42	1
chr1_.93	0.0862068965517241	20	1
chr1_.94	0.267241379310345	62	1
chr1_.95	0.327586206896552	76	1
chr1_.96	0.310344827586207	72	1
chr1_.97	0.327586206896552	76	1
chr1_.98	0.241379310344828	56	1
chr1_.99	0.25	58	1
chr1_.100	0.267241379310345	62	1
chr1_.101	0.741379310344828	172	1
chr1_.102	0.112068965517241	26	1
chr1_.103	0.0603448275862069	14	1
chr1_.104	0.120689655172414	28	1
chr1_.105	0.137931034482759	32	1
chr1_.106	0.327586206896552	76	1
chr1_.107	0.21551724137931	50	1
chr1_.108	0.146551724137931	34	1
chr1_.109	0.0775862068965517	18	1
chr1_.110	0.181034482758621	42	1
chr1_.111	0.310344827586207	72	1
chr1_.112	0.379310344827586	88	1
chr1_.113	0.439655172413793	102	1
chr1_.114	0.327586206896552	76	1
chr1_.115	0.568965517241379	132	1
chr1_.116	0.146551724137931	34	1
chr1_.117	0.344827586206897	80	1
chr1_.118	0.232758620689655	54	1
chr1_.119	0.224137931034483	52	1
chr1_.120	0.422413793103448	98	1
chr1_.121	0.456896551724138	106	1
chr1_.122	0.396551724137931	92	1
chr1_.123	0.896551724137931	208	1
chr1_.124	0.206896551724138	48	1
chr1_.125	0.758620689655172	176	1
chr1_.126	0.310344827586207	72	1
chr1_.127	0.413793103448276	96	1
chr1_.128	0.258620689655172	60	1
chr1_.129	0.172413793103448	40	1
chr1_.130	0.482758620689655	112	1
chr1_.131	0.810344827586207	188	1
chr1_.132	0.258620689655172	60	1
chr1_.133	0.78448275862069	182	1
chr1_.134	0.577586206896552	134	1
chr1_.135	0.198275862068966	46	1
chr1_.136	0.137931034482759	32	1
chr1_.137	0.181034482758621	42	1
chr1_.138	0.181034482758621	42	1
chr1_.139	0.181034482758621	42	1
chr1_.140	0.698275862068966	162	1
chr1_.141	0.232758620689655	54	1
chr1_.142	0.46551724137931	108	1
chr1_.143	0.301724137931034	70	1
chr1_.144	0.53448275862069	124	1
chr1_.145	0.0948275862068965	22	1
chr1_.146	0.396551724137931	92	1
chr1_.147	0.241379310344828	56	1
chr1_.148	0.379310344827586	88	1
chr1_.149	0.275862068965517	64	1
chr1_.150	0.267241379310345	62	1
chr1_.151	0.603448275862069	140	1
chr1_.152	0.28448275862069	66	1
chr1_.153	0.241379310344828	56	1
chr1_.154	0.0517241379310345	12	1
chr1_.155	0.844827586206897	196	1
chr1_.156	0.172413793103448	40	1
chr1_.157	0.163793103448276	38	1
chr1_.158	0.0775862068965517	18	1
chr1_.159	0.267241379310345	62	1
chr1_.160	0.318965517241379	74	1
chr1_.161	0.517241379310345	120	1
chr1_.162	0.327586206896552	76	1
chr1_.163	0.560344827586207	130	1
chr1_.164	0.163793103448276	38	1
chr1_.165	0.0948275862068965	22	1
chr1_.166	0.456896551724138	106	1
chr1_.167	0.336206896551724	78	1
chr1_.168	0.155172413793103	36	1
chr1_.169	0.28448275862069	66	1
chr1_.170	0.232758620689655	54	1
chr1_.171	0.267241379310345	62	1
chr1_.172	0.396551724137931	92	1
chr1_.173	0.482758620689655	112	1
chr1_.174	0.241379310344828	56	1
chr1_.175	0.172413793103448	40	1
chr1_.176	0.232758620689655	54	1
chr1_.177	0.258620689655172	60	1
chr1_.178	0.224137931034483	52	1
chr1_.179	0.21551724137931	50	1
chr1_.180	0.344827586206897	80	1
chr1_.181	0.379310344827586	88	1
chr1_.182	0.362068965517241	84	1
chr1_.183	0.137931034482759	32	1
