CNV	freq	event_N
chr1_.2	0.391509433962264	83
chr1_.4	0.216981132075472	46
chr1_.6	0.391509433962264	83
chr1_.8	0.216981132075472	46
chr1_.9	0.226415094339623	48
chr1_.11	0.226415094339623	48
chr1_.13	0.415094339622642	88
chr1_.16	0.415094339622642	88
chr1_.17	0.165094339622642	35
chr1_.18	0.415094339622642	88
chr1_.22	0.165094339622642	35
chr1_.30	0.226415094339623	48
chr1_.32	0.216981132075472	46
chr1_.34	0.226415094339623	48
chr1_.37	0.216981132075472	46
chr1_.47	0.216981132075472	46
chr1_.49	0.188679245283019	40
chr1_.50	0.216981132075472	46
chr1_.53	0.188679245283019	40
chr1_.54	0.188679245283019	40
chr1_.59	0.391509433962264	83
chr1_.62	0.188679245283019	40
chr1_.64	0.391509433962264	83
chr1_.65	0.202830188679245	43
chr1_.67	0.202830188679245	43
chr1_.68	0.226415094339623	48
chr1_.70	0.382075471698113	81
chr1_.72	1	212
chr1_.74	1	212
chr1_.76	0.382075471698113	81
chr1_.84	0.216981132075472	46
chr1_.88	0.216981132075472	46
chr1_.92	0.382075471698113	81
chr1_.94	0.834905660377358	177
chr1_.95	0.165094339622642	35
chr1_.99	0.617924528301887	131
chr1_.100	0.216981132075472	46
chr1_.101	0.35377358490566	75
chr1_.103	0.391509433962264	83
chr1_.105	0.415094339622642	88
chr1_.107	0.216981132075472	46
chr1_.119	0.382075471698113	81
chr1_.124	0.382075471698113	81
chr1_.134	0.834905660377358	177
chr1_.135	0.216981132075472	46
chr1_.136	0.783018867924528	166
chr1_.137	0.617924528301887	131
chr1_.140	0.165094339622642	35
chr1_.142	1	212
chr1_.150	1	212
chr1_.152	0.226415094339623	48
chr1_.153	0.608490566037736	129
chr1_.157	0.165094339622642	35
chr1_.161	1	212
chr1_.162	0.188679245283019	40
chr1_.164	0.226415094339623	48
chr1_.165	0.608490566037736	129
chr1_.167	0.188679245283019	40
chr1_.169	0.165094339622642	35
chr1_.172	0.165094339622642	35
chr1_.173	0.617924528301887	131
chr1_.174	0.165094339622642	35
chr1_.175	0.834905660377358	177
chr1_.177	0.216981132075472	46
chr1_.186	0.226415094339623	48
chr1_.188	0.226415094339623	48
chr1_.201	1	212
chr1_.204	1	212
chr1_.217	0.382075471698113	81
chr1_.218	0.834905660377358	177
chr1_.221	0.216981132075472	46
chr1_.223	1	212
chr1_.224	0.188679245283019	40
chr1_.226	0.188679245283019	40
chr1_.227	0.608490566037736	129
chr1_.229	0.391509433962264	83
chr1_.231	0.216981132075472	46
chr1_.235	0.188679245283019	40
chr1_.236	0.216981132075472	46
chr1_.237	0.391509433962264	83
chr1_.238	0.165094339622642	35
chr1_.240	0.391509433962264	83
chr1_.241	0.165094339622642	35
chr1_.243	0.382075471698113	81
chr1_.248	0.188679245283019	40
chr1_.250	0.188679245283019	40
chr1_.264	0.165094339622642	35
chr1_.265	0.391509433962264	83
chr1_.266	0.165094339622642	35
chr1_.267	0.165094339622642	35
chr1_.268	0.391509433962264	83
chr1_.269	0.165094339622642	35
chr1_.271	0.188679245283019	40
chr1_.283	0.202830188679245	43
chr1_.285	0.165094339622642	35
chr1_.286	0.202830188679245	43
chr1_.288	0.202830188679245	43
chr1_.290	0.202830188679245	43
chr1_.291	0.165094339622642	35
chr1_.294	1	212
chr1_.307	0.226415094339623	48
chr1_.312	0.226415094339623	48
chr1_.319	1	212
chr1_.326	0.216981132075472	46
chr1_.329	0.783018867924528	166
chr1_.332	0.382075471698113	81
chr1_.333	0.165094339622642	35
chr1_.334	0.165094339622642	35
chr1_.335	0.617924528301887	131
chr1_.336	0.216981132075472	46
chr1_.337	0.783018867924528	166
chr1_.338	0.216981132075472	46
chr1_.341	0.443396226415094	94
chr1_.345	0.226415094339623	48
chr1_.347	0.216981132075472	46
chr1_.348	0.226415094339623	48
chr1_.350	0.391509433962264	83
chr1_.354	0.617924528301887	131
chr1_.358	0.226415094339623	48
chr1_.371	0.216981132075472	46
chr1_.373	0.382075471698113	81
chr1_.374	0.216981132075472	46
chr1_.375	0.226415094339623	48
chr1_.376	0.165094339622642	35
chr1_.378	0.165094339622642	35
chr1_.379	0.617924528301887	131
chr1_.380	0.391509433962264	83
chr1_.382	0.617924528301887	131
chr1_.384	0.216981132075472	46
chr1_.391	0.216981132075472	46
chr1_.398	0.165094339622642	35
chr1_.401	0.617924528301887	131
chr1_.402	0.165094339622642	35
chr1_.404	0.216981132075472	46
chr1_.405	0.617924528301887	131
chr1_.406	0.216981132075472	46
chr1_.413	0.443396226415094	94
chr1_.415	0.216981132075472	46
chr1_.417	0.226415094339623	48
chr1_.418	0.405660377358491	86
chr1_.420	0.216981132075472	46
chr1_.423	0.216981132075472	46
chr1_.426	0.188679245283019	40
chr1_.429	0.226415094339623	48
chr1_.430	0.391509433962264	83
chr1_.433	0.226415094339623	48
chr1_.442	0.391509433962264	83
chr1_.444	0.391509433962264	83
chr1_.445	0.35377358490566	75
chr1_.447	0.165094339622642	35
chr1_.449	0.165094339622642	35
chr1_.450	0.165094339622642	35
chr1_.454	0.226415094339623	48
chr1_.457	0.391509433962264	83
chr1_.459	0.165094339622642	35
chr1_.462	0.226415094339623	48
chr1_.463	1	212
chr1_.472	0.216981132075472	46
chr1_.474	1	212
chr1_.478	1	212
chr1_.479	0.391509433962264	83
chr1_.480	0.608490566037736	129
chr1_.482	1	212
chr1_.483	0.391509433962264	83
chr1_.484	0.165094339622642	35
chr1_.485	0.617924528301887	131
chr1_.487	0.382075471698113	81
chr1_.488	0.617924528301887	131
chr1_.489	0.216981132075472	46
chr1_.490	0.783018867924528	166
chr1_.493	0.216981132075472	46
chr1_.494	0.165094339622642	35
chr1_.496	0.165094339622642	35
chr1_.497	0.216981132075472	46
chr1_.500	1	212
