CNV	freq	event_N
chr1_.1	0.163793103448276	38
chr1_.2	0.258620689655172	60
chr1_.3	0.396551724137931	92
chr1_.4	0.137931034482759	32
chr1_.5	0.379310344827586	88
chr1_.6	0.327586206896552	76
chr1_.7	0.275862068965517	64
chr1_.8	0.586206896551724	136
chr1_.9	0.189655172413793	44
chr1_.10	0.258620689655172	60
chr1_.11	0.353448275862069	82
chr1_.12	0.267241379310345	62
chr1_.13	0.456896551724138	106
chr1_.14	0.439655172413793	102
chr1_.15	0.474137931034483	110
chr1_.16	0.155172413793103	36
chr1_.17	0.318965517241379	74
chr1_.18	0.336206896551724	78
chr1_.19	0.21551724137931	50
chr1_.20	0.241379310344828	56
chr1_.21	0.431034482758621	100
chr1_.22	0.0948275862068965	22
chr1_.23	0.353448275862069	82
chr1_.24	0.163793103448276	38
chr1_.25	0.0862068965517241	20
chr1_.26	0.672413793103448	156
chr1_.27	0.275862068965517	64
chr1_.28	0.681034482758621	158
chr1_.29	0.172413793103448	40
chr1_.30	0.456896551724138	106
chr1_.31	0.362068965517241	84
chr1_.32	0.525862068965517	122
chr1_.33	0.224137931034483	52
chr1_.34	0.198275862068966	46
chr1_.35	0.25	58
chr1_.36	0.181034482758621	42
chr1_.37	0.301724137931034	70
chr1_.38	0.344827586206897	80
chr1_.39	0.155172413793103	36
chr1_.40	0.353448275862069	82
chr1_.41	0.21551724137931	50
chr1_.42	0.241379310344828	56
chr1_.43	0.310344827586207	72
chr1_.44	0.232758620689655	54
chr1_.45	0.301724137931034	70
chr1_.46	0.181034482758621	42
chr1_.47	0.336206896551724	78
chr1_.48	0.258620689655172	60
chr1_.49	0.310344827586207	72
chr1_.50	0.224137931034483	52
chr1_.51	0.275862068965517	64
chr1_.52	0.103448275862069	24
chr1_.53	0.224137931034483	52
chr1_.54	0.112068965517241	26
chr1_.55	0.275862068965517	64
chr1_.56	0.129310344827586	30
chr1_.57	0.310344827586207	72
chr1_.58	0.310344827586207	72
chr1_.59	0.275862068965517	64
chr1_.60	0.241379310344828	56
chr1_.61	0.275862068965517	64
chr1_.62	0.198275862068966	46
chr1_.63	0.172413793103448	40
chr1_.64	0.129310344827586	30
chr1_.65	0.189655172413793	44
chr1_.66	0.379310344827586	88
chr1_.67	0.28448275862069	66
chr1_.68	0.310344827586207	72
chr1_.69	0.336206896551724	78
chr1_.70	0.267241379310345	62
chr1_.71	0.155172413793103	36
chr1_.72	0.405172413793103	94
chr1_.73	0.336206896551724	78
chr1_.74	0.163793103448276	38
chr1_.75	0.155172413793103	36
chr1_.76	0.551724137931034	128
chr1_.77	0.112068965517241	26
