chrpos	count	fre	treat	sampleID
1:977836	8	0.5	Post	KTN102
1:1200863	8	0.5	Post	KTN102
1:1455238	8	0.5	Post	KTN102
1:1758057	8	0.5	Post	KTN102
1:1989903	8	0.5	Post	KTN102
1:2211810	5	0.3125	Post	KTN102
1:2422701	5	0.3125	Post	KTN102
1:2734371	2	0.125	Post	KTN102
1:2941981	2	0.125	Post	KTN102
1:3146714	2	0.125	Post	KTN102
1:3353563	2	0.125	Post	KTN102
1:3562166	2	0.125	Post	KTN102
1:4151407	2	0.125	Post	KTN102
1:4372509	2	0.125	Post	KTN102
1:4582450	2	0.125	Post	KTN102
1:4793866	2	0.125	Post	KTN102
1:5009810	2	0.125	Post	KTN102
1:5227840	2	0.125	Post	KTN102
1:5438636	2	0.125	Post	KTN102
1:5646411	2	0.125	Post	KTN102
1:5862661	2	0.125	Post	KTN102
1:6073586	3	0.1875	Post	KTN102
1:6292612	3	0.1875	Post	KTN102
1:6528721	3	0.1875	Post	KTN102
1:6759914	3	0.1875	Post	KTN102
1:6983038	3	0.1875	Post	KTN102
1:7194330	3	0.1875	Post	KTN102
1:7407624	3	0.1875	Post	KTN102
1:7622684	3	0.1875	Post	KTN102
1:7841261	3	0.1875	Post	KTN102
1:8072429	3	0.1875	Post	KTN102
1:8306737	2	0.125	Post	KTN102
1:8531463	2	0.125	Post	KTN102
1:8759016	2	0.125	Post	KTN102
1:8997862	2	0.125	Post	KTN102
1:9234462	1	0.0625	Post	KTN102
1:9453050	1	0.0625	Post	KTN102
1:9694967	1	0.0625	Post	KTN102
1:9934063	1	0.0625	Post	KTN102
1:10187901	1	0.0625	Post	KTN102
1:10425795	1	0.0625	Post	KTN102
1:10661527	1	0.0625	Post	KTN102
1:10868840	1	0.0625	Post	KTN102
1:11100663	1	0.0625	Post	KTN102
1:11338928	1	0.0625	Post	KTN102
1:11563058	1	0.0625	Post	KTN102
1:11784384	1	0.0625	Post	KTN102
1:12015125	1	0.0625	Post	KTN102
1:12246874	1	0.0625	Post	KTN102
1:12470856	1	0.0625	Post	KTN102
1:14004078	1	0.0625	Post	KTN102
1:14220485	1	0.0625	Post	KTN102
1:14436689	1	0.0625	Post	KTN102
1:14650806	1	0.0625	Post	KTN102
1:14874338	1	0.0625	Post	KTN102
1:15086149	1	0.0625	Post	KTN102
1:15303907	1	0.0625	Post	KTN102
1:15522386	1	0.0625	Post	KTN102
1:15743199	1	0.0625	Post	KTN102
1:15983258	1	0.0625	Post	KTN102
1:16228899	1	0.0625	Post	KTN102
1:16460784	1	0.0625	Post	KTN102
1:17435204	1	0.0625	Post	KTN102
1:17653172	1	0.0625	Post	KTN102
1:17893939	1	0.0625	Post	KTN102
1:18103598	1	0.0625	Post	KTN102
1:24465938	1	0.0625	Post	KTN102
1:24687365	1	0.0625	Post	KTN102
1:24907898	1	0.0625	Post	KTN102
1:25150126	1	0.0625	Post	KTN102
1:25362352	1	0.0625	Post	KTN102
1:25586166	1	0.0625	Post	KTN102
